 # Jupiter model, Ptrans=2 Mbar, diluted core
 # m/Mp         P (GPa)    r/Rmean   T(K)   rho(g/ccm)
 1.0000000000   0.000100   1.00000   170.0  0.0001635 
 0.9999999806   0.000115   0.99995   177.3  0.0001798 
 0.9999999593   0.000131   0.99990   184.6  0.0001969 
 0.9999999361   0.000148   0.99985   191.9  0.0002148 
 0.9999999108   0.000167   0.99980   199.0  0.0002339 
 0.9999998832   0.000188   0.99975   206.1  0.0002538 
 0.9999997086   0.000320   0.99950   241.1  0.0003690 
 0.9999994621   0.000507   0.99925   276.6  0.0005087 
 0.9999991300   0.000759   0.99900   312.1  0.0006740 
 0.9999986965   0.001088   0.99875   346.8  0.0008685 
 0.9999981459   0.001507   0.99850   381.8  0.0010906 
 0.9999974627   0.002026   0.99825   417.1  0.0013401 
 0.9999966318   0.002659   0.99800   452.7  0.0016172 
 0.9999956374   0.003417   0.99775   488.2  0.0019230 
 0.9999944629   0.004314   0.99750   523.3  0.0022595 
 0.9999930919   0.005361   0.99725   558.3  0.0026244 
 0.9999915081   0.006572   0.99700   593.2  0.0030195 
 0.9999896951   0.007960   0.99675   628.1  0.0034437 
 0.9999876368   0.009537   0.99650   663.1  0.0038967 
 0.9999853169   0.011317   0.99625   697.7  0.0043808 
 0.9999827181   0.013313   0.99600   732.0  0.0048955 
 0.9999798242   0.015538   0.99575   766.4  0.0054381 
 0.9999766195   0.018004   0.99550   800.4  0.0060112 
 0.9999730876   0.020725   0.99525   834.3  0.0066127 
 0.9999692136   0.023712   0.99500   868.2  0.0072407 
 0.9999649828   0.026979   0.99475   902.1  0.0078954 
 0.9999603805   0.030535   0.99450   935.8  0.0085769 
 0.9999553918   0.034394   0.99425   969.0  0.0092903 
 0.9999499983   0.038571   0.99400  1001.5  0.0100338 
 0.9999441837   0.043079   0.99375  1033.4  0.0108096 
 0.9999379324   0.047930   0.99350  1064.6  0.0116070 
 0.9999312334   0.053134   0.99325  1095.5  0.0124287 
 0.9999240743   0.058702   0.99300  1126.1  0.0132707 
 0.9999164425   0.064643   0.99275  1156.7  0.0141387 
 0.9999083242   0.070970   0.99250  1187.2  0.0150329 
 0.9998997051   0.077693   0.99225  1217.6  0.0159528 
 0.9998905719   0.084826   0.99200  1248.0  0.0168980 
 0.9998809108   0.092378   0.99175  1278.4  0.0178682 
 0.9998707088   0.100362   0.99150  1308.7  0.0188636 
 0.9998599520   0.108789   0.99125  1338.9  0.0198841 
 0.9998486278   0.117669   0.99100  1368.9  0.0209281 
 0.9998367233   0.127014   0.99075  1398.9  0.0219975 
 0.9998242327   0.136830   0.99050  1428.3  0.0230642 
 0.9998111502   0.147121   0.99025  1457.5  0.0241553 
 0.9997974657   0.157897   0.99000  1486.2  0.0252563 
 0.9997831776   0.169161   0.98975  1514.6  0.0263662 
 0.9997682772   0.180919   0.98950  1542.8  0.0274956 
 0.9997527548   0.193181   0.98925  1571.0  0.0286425 
 0.9997366012   0.205954   0.98900  1599.2  0.0298076 
 0.9997198071   0.219248   0.98875  1627.3  0.0309910 
 0.9997023653   0.233069   0.98850  1655.2  0.0321837 
 0.9996842694   0.247424   0.98825  1683.0  0.0333933 
 0.9996655106   0.262319   0.98800  1710.7  0.0346205 
 0.9996460860   0.277760   0.98775  1737.5  0.0358371 
 0.9996260001   0.293742   0.98750  1764.0  0.0370614 
 0.9996052461   0.310273   0.98725  1790.5  0.0382996 
 0.9995838176   0.327360   0.98700  1817.0  0.0395483 
 0.9995617114   0.345005   0.98675  1843.3  0.0408045 
 0.9995389217   0.363214   0.98650  1869.4  0.0420740 
 0.9995154422   0.381994   0.98625  1895.4  0.0433565 
