 # Jupiter model, Ptrans=7 Mbar, rock core 
 # m/Mp         P (GPa)    r/Rmean   T(K)   rho(g/ccm)
 1.0000000000   0.000100   1.00000   170.0  0.0001670
 0.9999999802   0.000115   0.99995   177.4  0.0001840 
 0.9999999584   0.000131   0.99990   184.9  0.0002018 
 0.9999999345   0.000149   0.99985   192.4  0.0002206 
 0.9999999085   0.000169   0.99980   199.6  0.0002405 
 0.9999998802   0.000191   0.99975   206.9  0.0002615 
 0.9999998494   0.000214   0.99970   214.1  0.0002834 
 0.9999998161   0.000239   0.99965   221.2  0.0003066 
 0.9999997801   0.000266   0.99960   228.3  0.0003308 
 0.9999997414   0.000296   0.99955   235.4  0.0003561 
 0.9999996997   0.000327   0.99950   242.6  0.0003824 
 0.9999996550   0.000361   0.99945   249.8  0.0004097 
 0.9999996072   0.000397   0.99940   257.0  0.0004381 
 0.9999995561   0.000436   0.99935   264.3  0.0004676 
 0.9999995016   0.000477   0.99930   271.6  0.0004979 
 0.9999994436   0.000521   0.99925   278.9  0.0005294 
 0.9999993821   0.000568   0.99920   286.2  0.0005619 
 0.9999993168   0.000617   0.99915   293.6  0.0005954 
 0.9999992477   0.000670   0.99910   301.0  0.0006300 
 0.9999991746   0.000725   0.99905   308.0  0.0006665 
 0.9999990974   0.000784   0.99900   315.0  0.0007041 
 0.9999990158   0.000846   0.99895   322.1  0.0007429 
 0.9999989298   0.000911   0.99890   329.1  0.0007828 
 0.9999988392   0.000980   0.99885   336.2  0.0008240 
 0.9999987440   0.001052   0.99880   343.3  0.0008663 
 0.9999986439   0.001128   0.99875   350.5  0.0009097 
 0.9999985388   0.001208   0.99870   357.6  0.0009543 
 0.9999984287   0.001292   0.99865   364.7  0.0010002 
 0.9999983134   0.001379   0.99860   371.9  0.0010472 
 0.9999981927   0.001471   0.99855   379.1  0.0010953 
 0.9999980665   0.001567   0.99850   386.3  0.0011446 
 0.9999979347   0.001667   0.99845   393.5  0.0011952 
 0.9999977972   0.001772   0.99840   400.7  0.0012468 
 0.9999976538   0.001881   0.99835   407.9  0.0012996 
 0.9999975044   0.001994   0.99830   415.1  0.0013536 
 0.9999973489   0.002113   0.99825   422.4  0.0014088 
 0.9999971871   0.002236   0.99820   429.6  0.0014651 
 0.9999970190   0.002364   0.99815   436.9  0.0015226 
 0.9999968443   0.002497   0.99810   444.1  0.0015813 
 0.9999966629   0.002635   0.99805   451.4  0.0016411 
 0.9999964748   0.002778   0.99800   458.7  0.0017022 
 0.9999962797   0.002927   0.99795   466.0  0.0017644 
 0.9999960776   0.003081   0.99790   473.3  0.0018278 
 0.9999958683   0.003241   0.99785   480.5  0.0018927 
 0.9999956517   0.003406   0.99780   487.7  0.0019591 
 0.9999954275   0.003577   0.99775   494.9  0.0020268 
 0.9999951957   0.003754   0.99770   502.1  0.0020957 
 0.9999949560   0.003937   0.99765   509.2  0.0021658 
 0.9999947085   0.004125   0.99760   516.4  0.0022368 
 0.9999944529   0.004321   0.99755   523.6  0.0023092 
 0.9999941891   0.004522   0.99750   530.7  0.0023828 
 0.9999939171   0.004730   0.99745   538.0  0.0024565 
 0.9999936367   0.004944   0.99740   545.1  0.0025322 
 0.9999933478   0.005165   0.99735   552.2  0.0026092 
 0.9999930502   0.005392   0.99730   559.3  0.0026874 
 0.9999927437   0.005626   0.99725   566.4  0.0027671 
 0.9999924282   0.005867   0.99720   573.5  0.0028481 
 0.9999921036   0.006116   0.99715   580.6  0.0029304 
 0.9999917697   0.006371   0.99710   587.7  0.0030138 
 0.9999914264   0.006633   0.99705   594.8  0.0030976 
 0.9999910737   0.006903   0.99700   601.9  0.0031829 
 0.9999907114   0.007181   0.99695   609.1  0.0032702 
 0.9999903392   0.007465   0.99690   616.2  0.0033589 
 0.9999899569   0.007758   0.99685   623.3  0.0034484 
 0.9999895647   0.008058   0.99680   630.4  0.0035392 
 0.9999891622   0.008367   0.99675   637.6  0.0036313 
 0.9999887493   0.008683   0.99670   644.7  0.0037246 
 0.9999883259   0.009007   0.99665   651.8  0.0038191 
 0.9999878920   0.009340   0.99660   658.9  0.0039147 
 0.9999874472   0.009681   0.99655   666.1  0.0040116 
 0.9999869916   0.010030   0.99650   673.2  0.0041097 
 0.9999865248   0.010388   0.99645   680.2  0.0042101 
